org_name,org_alt_name,ein_num,bio,city,state,assets,income
EarthShare Washington,BROOKE ROMAN-HIDAS,91-1363472,"['volunteer, conservation, sustainability, environmental education, environment, conservation, health, land, air, water, wildlife, animals, coastal, clean up, ocean, nature, education, global warming, <em>climate change,</em> regenerative agriculture, workplace giving, environmental philanthropy, Environment, Philanthropy, Health, Public health, Environmental health, Age groups, Children and youth, Adults, Work status', 'environmental crisis. We are welcoming new Nonprofit Partners working in underrepresented regions and issue areas with an emphasis on marginalized voices, addressing problems like environmental and <em>climate</em> justice, and forging deep relationships with an inclusive collective of amazing organizations dedicated to the environment. EarthShare Washington makes it easy for businesses to engage their employees']",Washington,DC,299524,288411
Lutherans Restoring Creation,,82-0828984,"[' Advocacy, Education, <em>Climate Change,</em> Social Justice, Environment, Community and economic development, Religion, Religious groups, Non-governmental organizations, Public charities']",Braintree,MA,0,0
Advocates for the Environment Inc,,27-0744807,"['Biological Diversity, California Native Plant Society, SCOPE and Friends of the Santa Clara River. Most of the lawsuits we bring in the public interest involve <em>climate change.</em> International program to coordinate litigators fighting <em>climate change</em> around the globe. See http://coolworld.institute', ' legal, lawyer, litigation, <em>climate change,</em> Environment, Natural resources, Public safety, Legal services, Non-governmental organizations, Public charities Litigate']",Sunland,CA,717631,126465
Eco Hero Kids Foundation,,30-0593112,"[' advocacy, education, K-12, <em>climate change,</em> empowerment,, Arts and culture, Performing arts, Theater, Music, Education, Elementary and secondary education, STEM education, Environment, Environmental justice, Environmental education, Environmental', 'initial interactive modules;  1) Plastic Pollution, 2) BioDiversity, 3) Adopt a Tree, 4) Be An Advocate for the Earth, 5) Composting, 6) World of Waste, 7) Bees, 8) Solar Energy, 9) Air Pollution, 10) <em>Climate</em> Change.Each learning module includes videos, written lessons, worksheets, calls to action, STEAM challenges, songs and dances, and each ""member"" gets a chance to win badges.']",Malibu,CA,0,0
SALVATION FARMS INC,Salvation Farms,45-2954564,"[' Experiential Education, Community Food Security, Local Food System Development, <em>Climate Change</em> Adaptation, Agricultural Surplus Management, Food Loss Reduction,', ', Food Hub, Aggregation &amp; Processng, Gleaning, Food Equality, Food Justice, Food Systems, Food Access, Nutrition, Social Justice, Workforce Development, Food Waste, Hunger Relief, Environment, <em>Climate change,</em> Agriculture, fishing and forestry, Agriculture, Farm viability, Agricultural education, Food security, Community food systems, Food sovereignty, Community and economic development, Community improvement']",Morrisville,VT,804823,878931
Earth Conservation Corps,ECC,52-1683270,"[' <em>Climate change,</em> habitat restoration,ameriCorps, environmental racism,  environmental education, community development, sturgeon, shad, clean water, clean rivers, youth development, endangered species, bald eagles, restoration, service learning, experiential education, job skills, life skills, Education, Elementary and secondary']",Washington,DC,419274,353666
Innovate Arbor Incorporated,Innovate Arbor,84-1853351,"[' Sustainable Agroforestry, Combat <em>Climate Change,</em> Alleviate Poverty, Environment, Natural resources, Biodiversity, Forest preservation, Sexual identity, Women and girls, Work status and occupations, Farmers, Non-governmental organizations, Public charities']",Newton Center,MA,0,0
Worthy Causes Inc,4Paws 4Wheels 4Hunger,06-1804307,"[' Hunger, Food Insecurity, Pandemic, <em>Climate Change,</em> Environment, Philanthropy, Health, Human rights, Age groups, Ethnic and racial groups, Social and economic status, Health, Non-governmental organizations, Public charities', 'people in the U.S. and over a billion worldwide go hungry every night. The global pandemic is leaving millions more food insecure, and future natural disasters and social disruptions brought on by <em>climate change</em> will make the situation even more dire.Mark has dedicated his life to fighting for a healthier and more equitable planet. Fighting for migrant labor rights as a teenager, co-founding Greenpeace']",Stow,MA,0,0
Global Forest Generation Inc,GLOBAL FOREST GENERATION GFG,83-1150620,"[""Global Forest Generation (GFG) is on a mission to achieve large-scale restoration of native forests to fight <em>climate change.</em>  We're focused on regenerating vital forest ecosystems not only for their value in storing carbon and protecting biodiversity, but for their critical role in preserving water.  Our projects ensure the viability of indigenous cultures and are a refuge for endangered species."", 'protection, protecting forest ecosystems, water security,  large-scale forest regeneration, conservation partnerships, sustaining indigenous cultures and communities, nature-based solution for fighting <em>climate change,</em> planting native trees, regenerating native forests, restoring lost forests, empowering reforestation leaders, Environment, Natural resources, Water resources, Biodiversity, Forest preservation,']",North Hero,VT,5069603,6992522
INTERNATIONAL PEACE INSTITUTE INC,IPI,03-0213226,"['Peace and security, conflict resolution, conflict prevention, mediation, International, UN, United Nations, Africa, Asia, Middle East, think tank, policy research, public policy, sustaining peace, <em>climate change,</em> human rights, humanitarian affairs, Social sciences, Interdisciplinary studies, International studies, Community and economic development, Sustainable development, Human rights, Antidiscrimination', ""institutions, and to sustain peace in areas under stress. Through our work on peace, <em>climate,</em> and sustainable development, IPI endeavors to strategically support and provide thought leadership on <em>climate</em> action. This work includes projects on <em>Climate</em> Action through Diplomacy, Leadership, and Partnership; Youth, Peace, and <em>Climate</em> Action; and Universal Connectivity and Digital Inclusion. IPI's Women, Peace ""]",New York City,NY,9424200,6655547
HEALTH CARE WITHOUT HARM,,52-2358837,"[' green health care, sustainable health care, green hospitals, <em>climate change,</em> asthma, Clean Air Act, air pollution, greenhouse gas, coal-fired power plants, chemical reform, safe chemicals act, hospital supply chain, healthy hospitals,  green ribbon commission, green building', 'efficiency and transitioning to clean, renewable energy sources, such as solar and wind, can both significantly reduce greenhouse gas emissions and protect public health from the myriad impacts of <em>climate change,</em> including increased heat-related illnesses, the expansion of vector borne diseases, increased droughts and water scarcity in some regions and storms and flooding in others.Moving away from fossil']",Reston,VA,20892227,10891987
Fresh Energy,Fresh Energy,41-1735501,"['Minneapolis, St. Paul, advocacy, transmission, global warming, <em>climate change,</em> Earth, sprawl, transportation, clean fuels, fuel cells, fuel, biogas, biofuels, wind, windpower, generation, power plant, coal, industry, advocacy, politics, legislation, solar, green, conservation, power, electrification, Environment, Environmental justice, <em>Climate change,</em> Natural resources, Energy resources, Public affairs, Public', ' partnership with a wide diversity of stakeholders from across the geographic and political landscape. By creating strong, collaborative, working partnerships, we will build a shared commitment to <em>climate</em> action. Editorially independent from Fresh Energy’s policy work, the Energy News Network is a national network of news sites providing daily links to top energy news stories and original reporting ']",St Paul,MN,12082755,8556012
Ecological Servants Project,Servants Project Earth,85-3376529,[' Environmental Conservation Sustainability <em>Climate Change</em> Environmental Justice Global Warming Litter clean-up Campaigns Endangered Species Protection Carbon Footprint Reduction Sustainable Practices Desertification Ocean Pollution Environmental Education Sustainability Conservation Community Engagement <em>Climate</em> Action Carbon Footprint Reduction Habitat Preservation Pollution Prevention'],El Cajon,CA,0,0
Take A Kid Outdoors,TAKO Iowa,26-2969832,"['issues, like <em>climate change,</em> that will affect them throughout their lives. TAKO provides opportunities for unstructured free play and self-guided activities for developing relationships with the natural world.  Through mentoring, parents overcome their fear of nature gaining confidence to allow kids to take on risk, building confidence so they can face the many challenges <em>climate change</em> will bring. ', ' Nature, <em>climate change,</em> Youth, outdoors, free play, resiliency, , Environment, Natural resources, Public affairs, Human services, Youth development, Youth organizing, Family relationships, Families, Social and economic']",Riverside,IA,0,0
Moses West Foundation,,85-2028514,"[' STEM Education, Urban Agriculture, Global Missions, Community Empowerment, Equality and Inclusivity, Innovation and Technology, Environmental Stewardship, Water Conservation, Humanitarian Aid, <em>Climate Change</em> Mitigation, Local Sourcing, Waste Reduction, Public safety, Disasters and emergency management, Environment, Age groups, Children and youth, Adults, Social and economic status, Economically disadvantaged', 'in need. More than a solution to water scarcity, this program is a symbol of resilience, innovation, and community strength. It fosters education, sustainability, and self-reliance, creating lasting <em>change</em> and inspiring hope in the face of adversity. Together, we are building a future where clean water is a right, not a privilege. The Moses West Foundation is addressing the ""Food Desert"" challenge in']",Highland Park,IL,0,0
CLEAN WISCONSIN INC,,39-1413448,"[' environment, PAH pollution, tar-based sealants, pharmaceuticals, water, advocacy, wetlands, Wisconsin, clean water, river, lake, global warming, <em>climate change,</em> renewable, efficiency, conservation, Clean Wisconsin, energy, air, green infrastructure, legal, science, groundwater, drinking water,  pollution, Environment, Natural resources, Age groups, Adults', 'challenging work includes  reducing carbon emissions, improving energy efficiency, and advocating for renewable energy sources. Together with our partners, we work towards common goals of curbing <em>climate change</em> and protecting public health.']",Madison,WI,4103116,3190599
The People's Justice Council dba Alabama Interfaith Power and Light,The People's Justice Council dba Alabama Interfaith Power and Light,83-0784025,"[' advocacy, creation care, energy efficiency, religion, environmental justice, <em>climate,</em> <em>climate change,</em> environment, <em>climate</em> justice, social justice, community organizing, consulting,, Environment, Natural resources, Energy resources, Human rights, Religious groups', 'Our mission is to engage and equipment communities with tools and access to build power from the grassroots up for <em>change</em> at the policy level. advocacy']",Birmingham,AL,456041,443287
Global Warming Mitigation Project,Keeling Curve Prize,82-3056808,"['innovative <em>climate</em> leaders and deploying resources to advance solutions.', ' <em>Climate,</em> Prize, Solutions, Global warming, Technology, Clean energy, Innovation, Collaboration, Sustainability, Empowerment, Advocacy, Impact-driven, Solutions-oriented, Community engagement, Resilience-building, Education and awareness, Policy influence, Technology integration, Cross-sectoral partnerships, Systemic <em>change,</em> Scalability']",Aspen,CO,1314755,1050048
CLEAN AIR INSTITUTE,CAI,80-0429122,"['The Clean Air Institute (CAI) has the vision of bridging knowledge, capacity and resource gaps to effectively address air pollution and <em>climate change</em> challenges. CAI assists nations and cities to provide healthy, enjoyable and productive environments for their residents through cleaner air, reduced greenhouse emissions and urban planning, resulting in improved quality of life. CAI works with leading', 'sectors to build consensus, and design, adopt and implement air quality and <em>climate change</em> strategies, policies, programs and projects to increase access to sustainable and clean transportation, energy and urban development choices. CAI is based in Washington DC with major activities focused in the Latin American region.']",Washington,DC,0,225752
GLOBAL CONSERVATION,,47-4042992,"['  Parks, Conservation, Wildlife, Carbon, <em>climate change,</em> anti-poaching, rangers, protection, Environment, <em>Climate change,</em> Biodiversity, Wildlife biodiversity, Ethnic and', 'ecosystems for endangered wildlife and combatting <em>climate change.</em> We deploy Global Park Defense including; trail cameras, SMART and communications, to ensure real-time enforcement against poaching, logging and other illegal activities.  Parks']",San Francisco,CA,274758,3169224
TRANSITION US,,26-1884389,"[' resilience, justice, sustainability, community, regeneration, transition, <em>climate change,</em> civic engagement, systems <em>change,</em> active hope, Environment, Natural resources, Public affairs, Democracy, Civic participation, Community and economic development, Community improvement, Community organizing, Age', 'www.transitionus.org/network. Transition US currently offers in-person and online Transition Launch, Transition Talk, Transition Thrive, and Effective Collaboration trainings to help aspiring and existing social <em>change</em> activists learn from best practices, respond to common challenges, and scale up their impact. Through these highly-interactive courses, participants also establish meaningful and long-lasting connections']",Sebastopol,CA,8642,145492
John D. and Catherine T. MacArthur Foundation,MacArthur Foundation,23-7093598,"[' Private Independent Grantmaking Foundation, Arts and culture, Environment, <em>Climate change,</em> Philanthropy, Information and communications, News and public information, Journalism, Investigative journalism, Citizen journalism, Information communications technology, Public safety, Community', ' Working to address over-incarceration and racial and ethnic disparities by <em>changing</em> the way America thinks about and uses jails. Working to ensure that the Earth stays well below a two-degrees Celsius temperature increase to avoid catastrophic global effects. Seeking a stronger and']",Chicago,IL,8229029493,2047932154
"Endangered Earthlings, Inc.","Endangered Earthlings, Inc.",82-1262743,"[' <em>Climate Change,</em> Species Extinction, Human VIrus, Hydrosphere, Atmosphere, Geosphere, Environment, Environmental education, Age groups, Adults, Social and economic status, Economically disadvantaged people, Non-governmental', ""fruit and vegetables in the average person's dwelling without much maintenance. Earth is in the midst of <em>climate change,</em> mass species extinction, resource depletion, drought and ocean dead zones. As the one species responsible for these cataclysms, we humans must <em>change</em> the way we live and this <em>change</em> must be swift and exacting. This published non-fiction handbook offers insight into Earth's path to today""]",Orange Park,FL,187,25
UTAH PHYSICIANS FOR A HEALTHY ENVIRONMENT,UPHE,80-0774496,"[' air quality, environment, health, wellness, <em>climate change,</em> <em>climate</em> action, toxics, lead, sustainability, Health, Non-governmental organizations, Public charities', ' such as pesticides.  We address the exposure of the community to other toxics from mining operations. As partners of the global Unmask My City campaign by healthcare providers we are calling  for <em>climate</em> action and the reduction of air pollution.  We advocate for renewable sources of energy and breaking away dependency on fossil fuels. We advocate for smart transportation and the development of infrastructure']",Salt Lake City,UT,278128,486357
Glacier Rescue Project,,85-1340223,"[' communication, creativity, art, design, community, education, environment, <em>climate change,</em> storytelling, Arts and culture, Environment, <em>Climate change,</em> Environmental education, Information and communications, Age groups, Adults, Young adults, Non-governmental organizations, Public charities']",Denver,CO,0,0
Bayou City Initiative,,82-3955232,"[' Flood protection advocacy and <em>climate change</em> resilience, Public safety, Non-governmental organizations, Public charities']",Houston,TX,0,0
EARTH DAY NETWORK INC,Earthday.org,13-3798288,"[' environment, activism, mobilization, network, <em>climate change,</em> policy, education, <em>climate</em> literacy, reforestation, restoration, species protection, Education, Environment, Natural resources, Public affairs, Age groups, Children and youth, Family relationships, Families', 'level commitments from Ministries of Education and Environment. Through the <em>Climate</em> Literacy Coalition we will ensure that students across the world benefit from high-quality education to develop into informed and engaged environmental stewards. Our work is in support of Action for <em>Climate</em> Empowerment or ACE Action for <em>Climate</em> Empowerment or ACE. Included in Article 12 of the Paris Agreement, the “overarching']",Washington,DC,5461221,8150797
New Energy Economy Inc,New Energy Economy,20-2845513,"[""grounds its work in the research and findings of the world's leading scientific and technological authorities including the the Intergovernmental Panel on <em>Climate Change</em> (IPCC) as well as Sandia and Los Alamos National Laboratories."", ' <em>Climate change,</em> clean energy, environmental advocacy, Environment, Natural resources, Energy resources, Renewable energy, Non-governmental organizations, Public charities']",Santa Fe,NM,511699,594826
MODEL FOREST POLICY PROGRAM INC,MFPP,74-3242219,"[' <em>climate change,</em> resilience, rural, urban, capacity, leadership, Environment, <em>Climate change,</em> Biodiversity, Forest preservation, Natural resources, Non-governmental organizations, Public charities', ""the capacity of communities to be <em>climate</em> resilient by sustaining water resources, productive forests, citizens' wellbeing, and thriving economies. climate""]",Sagle,ID,101307,213847
COMMUNITY GREENING CORP,,81-3559159,"[' Trees Environment Green Sustainable <em>Climate Change</em> Beautification, Community and economic development, Community improvement, Community beautification, Environment, Age groups, Children and youth, Adolescents, Non-governmental organizations, Supporting']",Delray Beach,FL,392661,1244225
OCEAN ELDERS INC,,45-3034636,"[' ocean, nature, wildlife, <em>climate change,</em> MPA, high seas, Environment, Natural resources, Water resources, Oceans and coastal waters, Biodiversity, Non-governmental organizations']",Hollister,CA,872577,97071
1000 FRIENDS OF OREGON,,93-0642086,"['ranches, ranchers, working lands, housing, transportation, wildfire, energy, urban growth boundaries, food systems, Oregon, Portland, Oregon legislature, public policy, quality of life, environment, <em>climate change,</em> transportation, housing, Environment, Agriculture, fishing and forestry, Agriculture, Farmlands, Community and economic development, Age groups, Adults, Social and economic status, Economically', ""-increasing risks of wildfires that threaten our state’s livability. Part of our work to combat wildfires is advocating for legislation designed to protect our forest and farmlands and mitigate <em>climate change</em>.Our Executive Director, Russ Hoeflich, sits on Governor Kate Brown’s Wildfire Response Council, as the Chair of the Land Use Sub-Committee. “The Council is tasked to review Oregon's current model""]",Portland,OR,5219213,1335384
The Sustany Foundation,"The Sustany Foundation, Inc.",26-1307300,"[' environment, sustainability, triple bottom line, ESG. Social Responsibility, ESG. Diversity, Inclusion, <em>Climate</em> Justice, <em>Climate Change,</em> Carbo offsets, Environment, Community and economic development, Philanthropy, Non-governmental organizations, Public charities']",Tampa,FL,23917,20773
Bayou Grace Community Services,Bayou Grace,20-8026024,"[' coastal Louisiana, land loss, <em>climate change,</em> Community and economic development, Economic development, Rural development, Human services, Environment, Natural resources, Water resources, Ethnic and racial groups, Social and economic status']",Chauvin,LA,0,0
James City County Williamsburg Master Gardener Association,JCCWilliamsburg Master Gardener Association,31-1681803,"[' gardening education, agriculture, <em>climate change,</em> Community and economic development, Sustainable development, Community improvement, Age groups, Children and youth, Adults, Work status and occupations, Retired people, Academics, Farmers, Non-']",Williamsburg,VA,0,0
SEVENTH GENERATION ADVISORS,,20-8771636,"['fight <em>climate change,</em> based on the ancient First Nations philosophy that the decisions we make today should result in a sustainable world seven generations into the future. We recognize the link between <em>climate,</em> conservation and the health and well-being of all living things and we strive to initiate, support and implement projects that support this interconnection.', ' environment, <em>climate change,</em> global']",Santa Monica,CA,9382827,3846372
Mize Family Foundation,,27-1374636,"['The foundation supports organizations that promote global environmental justice and a diverse environmental movement, building a sense of urgency around the impacts of <em>climate change</em> on human and wildlife communities.', ' <em>climate change,</em> social justice, environmental justice, diversity, gender equality, wildlife, Philanthropy, Foundations, Non-governmental organizations, Foundations']",Seattle,WA,719404,971863
Ripple Effect Water Literacy Project,Ripple Effect,81-4128632,"[' education, K-12, <em>climate change,</em> environmental education, Education, Age groups, Adults, Non-governmental organizations, Public charities']",New Orleans,LA,163364,242611
NORTH COAST RESOURCE CONSERVATION & DEVELOPMENT COUNCIL,Cultivating Commerce,68-0484941,"[' education, advocacy, <em>change,</em> food systems, water conservation, habitat loss, <em>climate change,</em> Environment, Natural resources, Environmental education, Agriculture, fishing and forestry, Food security, Sustainable agriculture, Community and economic development', 'on-the-ground <em>change.</em>  We involve students in reducing a school’s food waste stream through a campus-wide composting program to divert a significant amount of food waste from greenhouse gas-producing landfills, and instead transform this waste into vermicompost, a useful product beneficial to the planet. These small actions cumulatively make for big <em>changes</em> to reduce or slow <em>climate change.</em> Cultivating']",Santa Rosa,CA,478527,2904841
Woodwell Climate Research Center,,04-3005094,"['well as local communities, using powerful risk assessment tools to educate and empower citizens to address <em>climate change,</em> justly and equitably, in their local areas. Tropical forests are one of the only large-scale tools available to combat global warming. There is no solution for <em>climate change</em> without tropical forests. Tropics Program researchers focus on quantifying and communicating the ecological', 'water chemistry to see what <em>changes</em> are taking place and to gain insights into how <em>climate change,</em> human development, and other disturbances affect surrounding ecosystems. Joining together with partners from around the world, Woodwell researchers investigate water chemistry in Earth’s most significant river systems to create an integrated picture of the effects of <em>climate change</em> and other disturbances on']",Falmouth,MA,63603476,25084350
"Climate Central, Inc.",Climate Central,26-1797336,"['Through its <em>Climate</em> Matters program (CM), <em>Climate</em> Central is working to <em>change</em> how Americans see <em>climate change</em> by supporting national and local media to deliver effective, science-backed <em>climate</em> content to their audiences, at scale. The program’s approach of providing mostly local information and graphics through trusted local messengers has been rigorously tested and shown to increase <em>climate</em> understanding', ' Science, Research, Communications, Environment, <em>Climate change,</em> Natural resources, Energy resources, Science, Age groups, Adults, Work status and occupations, Academics, Researchers, Non-governmental organizations, Public charities']",Princeton,NJ,11460930,14428899
HEARTLAND INSTITUTE,,36-3309812,"[' budget, <em>climate change,</em> digital economy, education, environment, free market, freedom, global warming, government, health care, information technology, junk science, lawsuit abuse, libertarian, multicultural, private ']",Arlington Heights,IL,1389619,3896396
STOW CONSERVATION TRUST INC,SCT,04-2625752,"[' Conservation, Land/Water Protection, <em>Climate Change</em> Resilience, Environment, Community and economic development, Community improvement, Community beautification, Natural resources, Land resources, Non-governmental organizations, Public charities']",Stow,MA,2249227,87239
ECOLOGIC INSTITUTE,EIUS,26-2679057,"[' nature conservation, <em>climate change,</em> sustainable development, transatlantic, nonpartisan, independent, Environment, Natural resources, Community and economic development, Sustainable development, International relations, Non-governmental organizations, Public charities', ' <em>Climate change</em> mitigation and adaptation, energy security, and a sustainable, efficient']",Washington,DC,0,0
LINDEN TRUST FOR CONSERVATION,,13-3748063,"[' <em>climate change,</em> environment, conservation, biodiversity, ecological, environmental,, Environment, Natural resources, Energy resources, Non-governmental organizations, Public charities', 'design, and policy advocacy.Carbon Tax Initiative - In 2014, LTC launched a Carbon Tax Initiative, which seeks the adoption of an economy-wide, market-based approach to address the challenge of <em>climate change</em> and advance a clean-energy economy.  Central to that objective is supporting policies that can boost the economy, job creation and innovation while cutting pollution.  Consistent with our problem-solving']",New York City,NY,19599051,4156327
North Carolina Climate Solutions Coalition,,81-5372697,"[' renewable, clean energy, sustainability, <em>climate change,</em> green jobs, iversity; urgent action, vulnerable, fragile, transition, forest protection; agriculture, Environment, Natural resources, Energy resources, Community and economic development, Economic development, Employment, Non-governmental organizations, Public charities', 'Our mission is to identify and implement solutions to avert <em>climate</em> catastrophe. We do this by bringing together diverse <em>climate</em> organizations and people to support, accelerate, and amplify their work. We provide tools to empower local communities and individuals to take urgent action – especially in support of vulnerable and fragile communities – to create green jobs and to rapidly transition to a']",Clemmons,NC,32992,66792
K & L Baxter Family Foundation Inc,KLBFF.ORG,20-4006397,"['For Education and Against <em>Climate Change</em>', ' against <em>climate change,</em> social reform, education, Philanthropy, Foundations, Non-governmental organizations, Foundations']",Las Vegas,NV,139930,100000
Mary Miss City As Living Laboratory Inc,CALL/ City as Living Laboratory,45-3437108,"[' Environment, <em>climate,</em> health, equity, art, science, interdisciplinary collaboration, urban design, <em>climate change,</em> resilience, community development, Arts and culture, Environment, Community and economic', 'communities to create sustainable solutions for urgent environmental issues including <em>climate,</em> equity and health.  We help people connect environmental challenges to personal experience and take action. Environment']",New York City,NY,392924,936439
Rocky Mountain Biological Laboratory at Gothic,RMBL,84-6050523,"[' <em>Climate Change,</em> Ecology, Water, Evolutionary Biology, Education, Elementary and secondary education, STEM education, Higher education, Environment, Science, Biology, Age groups, Schools, Non-governmental organizations, Public charities']",Crested Butte,CO,15907733,6447679
Indiana Phenology Co,,84-3167098,"[' Citizen Science, Environment, <em>Climate Change,</em> Education, Phenology, Open Data, Collaboration, Community Building, Environment, <em>Climate change,</em> Environmental education, Science, Biology, Ecology, Information and communications, News and public information, Open data, Community and economic', 'provide an opportunity for Hoosiers of all ages to play an active role in the fight against <em>climate change.</em> They offer a place for citizen science volunteers to work together in monitoring selected plants in a public space. Their observations provide valuable insight for decisionmakers on the impact <em>climate change</em> has on growth patterns, reproduction, and resource availability.']",Carmel,IN,0,0
Sustasis Foundation,,26-2182150,"[' pattern language, wiki, sustainability, new urbanism, <em>climate change,</em> capacity-building, Environment, Education, Education services, Public affairs, Non-governmental organizations, Public charities']",Portland,OR,0,0
"Aspen Global Change Institute, Inc.",A.G.C.I.,84-1305687,"['warming, <em>climate,</em> international, energy, Environment, <em>Climate change,</em> Natural resources, Energy resources, Environmental education, Age groups, Adults, Non-governmental organizations, Public charities', 'AGCI advances global <em>change</em> science and solutions by furthering interdisciplinary understanding and nurturing community to catalyze science-informed action. AGCI engages solutions-seekers -- including researchers, practitioners, boundary-spanners, citizens, and learners of all ages -- through convening, collaborative research, education, and communications. environment']",Basalt,CO,14317215,3487770
"Amman Imman Water is Life, Inc.",Amman Imman: Water is Life,26-3880078,"['equality and <em>climate change</em> adaptation.', ' water is life, <em>climate</em> resilience, heroes of compassion, oases of life, sustainable water sources, drawdown, <em>climate change,</em> Environment, Natural resources, Water resources, Health, Public health, Human services, Youth development, Community service for youth, Age groups, Children and youth, Non-governmental organizations, Public charities']",Silver Spring,MD,5759,47369
Forum for the Future Us Inc,"We are a leading international non-profit working with business, government and civil society to solve complex sustainability challenges.",47-4667055,"['toward a sustainable future.Climate <em>change,</em> poverty, malnutrition, civil unrest: the world today is facing complex challenges because our fundamental systems are broken.We specialise in addressing critical global challenges by catalysing <em>change</em> in key systems, from food to apparel, energy to shipping.We do this by convening transformational collaborations to drive <em>change,</em> by partnering with organisations', 'organisations to help them lead by example, and by building a global community of pioneers and <em>change</em> makersTogether we can reinvent the way the world works.']",Brooklyn,NY,1059994,1942314
"EndOil, Inc.",Communities for Clean Ports,35-2237889,"[' endoil, oil dependency, environmental justice, environmental health, air pollution, <em>climate change,</em> Environment, Natural resources, Energy resources, Non-governmental organizations, Public charities']",Long Beach,CA,0,0
COUNCIL ON STRATEGIC RISKS,"The Center for Climate and Security, The Janne E. Nolan Center on Strategic Weapons",82-3106472,"[' national security, international security, <em>climate change,</em> nuclear proliferation, chemical weapons, biological weapons, <em>climate</em> resilience, <em>climate</em> adaptation, military policy, foreign affairs, international relations, homeland security, disaster preparedness, International relations, Non-governmental organizations, Public charities', 'institute of the CSR, and the only institution exclusively focused on the intersection of <em>climate</em> and security. CCS envisions a world which recognizes that <em>climate change</em> threats to security are significant and unprecedented, and acts to address those threats in a manner that is commensurate to their scale, consequence and probability. The Converging Risks Lab (CRL) is a research and policy development-']",Washington,DC,4934218,4742950
Earth Matter NY Inc,,27-0625845,"[' zero waste, <em>climate change,</em> soil health, environmental quality, urban agriculture, Environment, Agriculture, fishing and forestry, Agriculture', ' participate in our restorative yoga and meditation workshops. SECOND, lavender is a potentially beneficial pollinator plant to protect and support Governors Island’s honey bees in the face of <em>climate change.</em> THIRD, the lavender is planted in soil enriched with compost made by the New York City Compost Project hosted by Earth Matter NY. This demonstrates one of the ways we nourish the earth and  keep']",New York City,NY,694490,930962
COMPASSION IN WORLD FARMING INC.,,46-1822635,"['farm animal welfare, animal welfare environmentalist, end factory farming, end industrial farming, regenerative agriculture, resilient agriculture, humane agriculture, sustainable agriculture, <em>climate change,</em> biodiversity, wildlife habitat, equitable food system, environmental health, meat reduction, protein diversification, protein alternatives, plant based, Environment, Agriculture, fishing and forestry', ' <em>Changing</em> farm practices that cause animals pain and suffering, by:-campaigning for legislation to end the use of cages and long-distance live transport.-persuading food companies to adopt higher-welfare standards']",New York City,NY,2508565,1845677
Center for an Ecology-Based Economy,CEBE,46-3113400,"[' <em>climate change</em> resilience regenerative norway maine environment sustainability, Environment, Natural resources, Community and economic development, Economic development, Rural development', 'practical, ecological solutions in the areas of food, shelter, energy, and transportation. Our goal is local community sustainability, health, and resilience in response to <em>climate</em> instability and resource depletion. climate']",Norway,ME,248959,382122
CODE REDD,Stand For Trees,46-0888828,"[' its full potential to empower people, preserve forests, protect wildlife, and reduce emissions.Vision:We believe humankind must work together, deploying every resource available to to meet the <em>climate change</em> challenge including environmental compensation mechanisms. Code REDD is an environmental NGO that advocates for forest conservation through the United Nations envisioned REDD+ mechanism (Reducing', ' REDD+, <em>Climate Change,</em> Deforestation, carbon offset, VERs, Amazon, Global Warming, rainforest, Environment, Biodiversity, Forest preservation, Community and economic development, Economic development, Wildlife biodiversity']",Mill Valley,CA,100483,328834
Rural Advantage,,86-1087174,"[' agriculture, third crops, farmers, local foods, economics, water quality, <em>climate change,</em> Community and economic development, Economic development, Rural development, Environment, Natural resources, Agriculture, fishing and forestry, Agriculture, Non-governmental organizations, Public']",Fairmont,MN,0,0
TREE DAVIS,ATTENTION TREASURER,94-3169363,"[' Urban Forestry, Education, Tree Planting, Tree Care, <em>Climate Change,</em> Community Building, Environment, Community and economic development, Community improvement, Education, Educational management, Non-governmental organizations, Public charities']",Davis,CA,171182,243796
Colorado People's Alliance,COPA,84-1599036,"['economy that works for all--the people--and not just corporations and the wealthy few. Our planet and the <em>climate</em> are quickly <em>changing,</em> and we need to invest time and resources to ensure that communities most impacted by  corporate polluters, and unsafe drinking water,  are leading the work for <em>change.</em> We are fighting to ensure everyone has access to clean drinking water and leading the efforts for a just', 'member-led organization dedicated to advancing and winning progressive social <em>change</em> locally, statewide and nationally. COPA builds power to improve the lives of all Coloradans through leadership development, organizing and alliance building. immigration']",Denver,CO,4168582,1646707
Meet the Ocean,,81-5230359,"[' ocean, conservation, education, <em>climate change,</em> nature, experience, outreach, science, storytelling, Science, Physical and earth sciences, Marine science, Environment, Natural resources, Education, Non-governmental organizations, Supporting ']",Portland,OR,0,0
Robert W Johnson Community Center Inc,,52-0881230,"[' Advocacy, <em>Climate Change,</em> Urban Farming, Environmental Sustainability, Wellness, Athletics, Education, Equal opportunity in education, Education services, Tutoring, Environment, Environmental education, Human services, ']",Hagerstown,MD,828956,686061
"Home Energy Efficiency Team, Inc.",HEET,80-0388618,"['HEET is an incubator for innovative solutions to <em>climate change,</em> with a mission to cut carbon emissions through systems <em>change.</em> ', '  energy shift, geothermal, geothermal network, thermal energy network, geomicrodistrict, geogrid, energy efficiency, gas leaks, reduce emissions, <em>climate change,</em> methane reduction, mapping, gas leaks maps, Massachusetts, energy-upgrade, work parties, barnraising, chemistry']",Boston,MA,1743592,1763681
