org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
District of Columbia Public Health Association,,52-6076141,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Washington,DC,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Association of Schools and Programs of Public Health Inc,,45-3220718,"['HEALTH BY ADVANCING EDUCATION, RESEARCH AND SERVICE IN <em>PUBLIC HEALTH</em> CDC COOPERATIVE AGREEMENT TO IMPROVE INTERACTION BETWEEN <em>PUBLIC HEALTH</em> ACADEMICIANS AND WORKERS GRANTS AND SERVICE CONTRACTS PROGRAM TO SUPPORT SCHOOLS AND PROGRAMS OF <em>PUBLIC HEALTH</em>', '<em>Health,</em> <em>Public health,</em> Education, Non-governmental organizations, <em>Public</em> charities STRENGTHENING']",Washington,DC,11646872,13536879,"STRENGTHENING AND PROMOTING THE EDUCATION, RESEARCH, SERVICE, AND PRACTICE ACTIVITIES OF CEPH-ACCREDITED SCHOOLS AND PROGRAMS AND ADVOCATING FOR THE INVESTMENT IN SCIENCE NEEDED TO ADVANCE POPULATION HEALTH AND FOR EVIDENCE-BASED PUBLIC HEALTH POLICIES AND PROGRAMS.",,,,,
Montana Public Health Institute,,85-1137954,"['IMPACTED BY COVID-19. FINALLY, THE MONTANA <em>PUBLIC HEALTH</em> INSTITUTE LED THE DEVELOPMENT OF A CRISIS COORDINATOR NETWORK, ALLOWING MULTIPLE AGENCIES IN THE STATE OF MONTANA TO LINK THEIR WORK WITH EACHOTHER. THE MONTANA <em>PUBLIC HEALTH</em> INSTITUTE WORKED TO SUPPORT LOCAL <em>HEALTH</em> DEPARTMENTS ACROSS MONTANA TO INCREASE THE ABILITY OF THESE DEPARTMENTS TO RESPOND TO <em>PUBLIC HEALTH</em> NEEDS. THIS WAS ACCOMPLISHED BY ASSISTING', 'AND IMPLEMENTATION OF PLANS AND POLICIES DIRECTED AT <em>HEALTH</em> IMPROVEMENT. ADDITIONALLY, MONTANA <em>PUBLIC HEALTH</em> INSTITUTE ASSISTED WITH THE REGULAR <em>HEALTH</em> DEPARTMENT MANAGEMENT, ASSISTING WITH COMMUNITY <em>HEALTH</em> PLANNING ACTIVIES, AND INCREASING THE CAPAPCITY OF LOCAL AND TRIBAL <em>HEALTH</em> DEPARTMENTS TO ADDRESS PERSONEL SHORTFALLS. THE MONTANA <em>PUBLIC HEALTH</em> INSTITUTE HELPED INCREASE ACCESS TO TREATMENT FOR UNDERSERVED']",Kalispell,MT,435535,1801670,"OPTIMIZE THE HEALTH AND QUALITY OF LIFE OF MONTANANS BY STRENGTHENING THE PUBLIC HEALTH SYSTEM THROUGH COLLABORATION, LEADERSHIP, AND THE ADVANCEMENT OF HEALTH EQUITY.",,,,,
Alaska Public Health Association,,92-0087212,"[' TO ORGANIZE AND HOST A MAJOR <em>HEALTH</em> SUMMIT FOR THE STATE OF ALASKA. TO CONTINUE TO WORK TOWARD THE ADVANCEMENT OF <em>PUBLIC HEALTH</em> IN ALASKA THROUGH EDUCATION.', ' <em>Health,</em> Non-governmental organizations, <em>Public</em> charities TO']",Anchorage,AK,162682,219811,None,,,,,
Utah Public Health Association,,87-0327438,"['that UPHA is a trusted champion for improving <em>public health</em> through innovation, leadership, and collaboration. Our mission is to protect and improve the <em>health</em> of the <em>public</em> and achieve equity in <em>health</em> status.', ' THE 2022 CONFERENCE THEME WAS ADAPTING TO A NEW <em>PUBLIC HEALTH</em> AND WAS HELD VIRTUALLY USING THE CONFEX PLATFORM']",Salt Lake City,UT,121218,332382,"Our vision is that UPHA is a trusted champion for improving public health through innovation, leadership, and collaboration. Our mission is to protect and improve the health of the public and achieve equity in health status.",,,,,
Coos County Friends of Public Health,,26-1799802,"['Promote <em>public health</em> by enhancing local <em>public health</em> services.', ' <em>Health,</em> Mental <em>health</em> care, Mental <em>health</em> counseling, Non-governmental organizations, <em>Public</em> charities']",Coos Bay,OR,30098,98147,Promote public health by enhancing local public health services.,,,,,
SW Guilford Middle School PTSA,SW GUILFORD MIDDLE SCHOOL PTA,56-1809818,"['teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Elementary and secondary education, Middle school education, Education services, Parent-teacher involvement, Age groups, Children and youth, Preteens, Adolescents, Family relationships, Families, Parents, Social and economic status, Economically disadvantaged people, Low-income people, At-risk youth, <em>Health,</em> People with disabilities', 'disabilities, Non-governmental organizations, <em>Public</em> charities']",High Point,NC,0,0,"Southwest Middle PTSA is a diverse group of dedicated, energetic, and talented parents, teachers, students, and administrators. We are honored to be an active partner in the outstanding instructional, cultural, and enrichment programs at Southwest Middle School. Our goal is for ALL families to join and get involved!",https://facebook.com/Southwest Middle School PTSA,,,,
Independent Media Institute,IMI,52-1309876,"['educates the <em>public</em> through a diverse array of independent media projects and programs. We work with journalists and media outlets to shine a spotlight on stories that are vital to the <em>public</em> interest, using multiple media formats and distribution channels.', ' media, democracy, environmental justice, civil liberties, immigration, food, sustainability, <em>health,</em> policy, politics, news, <em>public</em> education, Information']",New York City,NY,539310,1092096,"The Independent Media Institute (IMI) is a nonprofit organization that educates the public through a diverse array of independent media projects and programs. We work with journalists and media outlets to shine a spotlight on stories that are vital to the public interest, using multiple media formats and distribution channels.",,,,,
Schuylkill River Development Corporation,SRDC,23-2690558,"[' Community and Economic Development; Improvements in Transportation, Recreation, <em>Public Health</em> and Environmental Stewardship, Environment, Natural resources, Community and economic development, Community improvement, Sports and recreation, Community recreation, Parks, Age groups, Non-governmental organizations, <em>Public</em> charities']",Philadelphia,PA,9714516,2338721,"Schuylkill River Development Corporation is revitalizing Schuylkill Banks, connecting people and neighborhoods for the well-being of all.",https://facebook.com/https://www.facebook.com/SchuylkillBanks/,https://twitter.com/https://twitter.com/SchuylkillBanks,,https://instagram.com/https://www.instagram.com/schuylkillbanks/,
Georgia Foundation for Public Health Ltd,,46-4253565,"['The Georgia Foundation for <em>Public Health</em> exists to support <em>public health</em> throughout the state of Georgia.', ' <em>Health,</em> Non-governmental organizations, <em>Public</em> charities']",Atlanta,GA,54977,1540,The Georgia Foundation for Public Health exists to support public health throughout the state of Georgia.,,,,,
Center for Health Equity A Public Health Institute Inc,,92-0801641,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Glassboro,NJ,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
FIRST PLACE AZ,"First Place, First Place-Phoenix",46-1722227,"['Supportive Housing;  Adults with Autism and Special Needs; <em>Health</em> and Wellness; Research; <em>Public</em> Policy, Education, Adult education, <em>Health,</em> Diseases and conditions, Brain and nervous system disorders, Autism, Human services, Shelter and residential care, Supportive housing, Housing services, Age groups, Adults, <em>Health,</em> People with disabilities, People with psychosocial disabilities, People with intellectual', 'intellectual disabilities, Non-governmental organizations, <em>Public</em> charities']",Phoenix,AZ,16660325,6154427,"First Place’s mission is to create a supportive, sustainable community where adults with autism and other neurodiversities live and thrive with pride, purpose and endless possibilities. Our vision is to ensure that housing and community options are as bountiful for adults with autism and other neurodiversities as they are for everyone else.",https://facebook.com/FirstPlaceAZ,https://twitter.com/@firstplaceaz,https://youtube.com/channel/UCd15Uh9cN4emR3HsZtRn_rQ,https://instagram.com/firstplaceaz,https://linkedin.com/company/firstplaceaz
Friends of the Concord - Lake Sunapee Rail Trail,"CLSRT, Concord-Lake Sunapee Rail Trail",82-1312679,"[' rail trail, active transportation, recreation, community building, <em>public health,</em> Environment, Natural resources, Community and economic development, Community improvement, Sports and recreation, Community recreation, Age groups, Adults, Non-governmental organizations, <em>Public</em> charities']",Warner,NH,259660,93599,"The mission of the Friends of the Concord - Lake Sunapee Rail Trail is to create a multiuse rail trail of 34 miles connecting the New Hampshire communities of Concord, Hopkinton, Warner, Sutton, Bradford and Newbury. Our less formal tagline is, ""Ice cream every 45 minutes."" Its our way of saying a family riding bikes will come into another village center every 45 minutes and find ice cream and all the other stores and points of interest our region offers.",https://facebook.com/https://www.facebook.com/CLSRT/,https://twitter.com/@InfoClsrt,,https://instagram.com/fclsrt,https://linkedin.com/company/https://www.linkedin.com/company/27150475/
National Association of State Mental Health Program Directors in,"Nasmhpd, Inc.",52-0784740,"[' <em>Public</em> Mental <em>Health,</em> <em>Health,</em> Mental <em>health</em> care, Community and economic development, Business and industry, Non-governmental organizations, Associations, Individual membership associations', 'TO PROVIDE THE EXCHANGE FOR MENTAL <em>HEALTH</em> ISSUES. Public']",Alexandria,VA,6195907,24288212,TO PROVIDE THE EXCHANGE FOR MENTAL HEALTH ISSUES.,,,,,
Partners in Public Health Inc,,35-2268179,"[' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities', 'To assess the <em>health</em> status and needs of the community and implement initiatives and programs to promote, improve and/or maintain a high level of <em>health</em> in Johnson County, through community partnerships and collaborations. Health']",Olathe,KS,0,0,"To assess the health status and needs of the community and implement initiatives and programs to promote, improve and/or maintain a high level of health in Johnson County, through community partnerships and collaborations.",,,,,
Springfield Cultural Partnership Incorporated,,81-2515358,"[' advocacy, creative economy, arts and culture, community <em>health,</em> economic development, convening, collaboration, community art, <em>public</em> art, arts education, Community and economic development, Economic development, Urban development, Family relationships, Families, Ethnic and racial groups, People', 'organizations, <em>Public</em> charities']",Springfield,MA,356575,301039,"Springfield Cultural Partnership’s Mission is to foster civic engagement and arts education in the City of Springfield by creating and sustaining a vibrant cultural environment, authentically engaging institutions, artists, and the community.
The Springfield Cultural Partnership’s Vision is to succeed as a significant force in the region’s creative community by contributing to economic vitality and cultural enrichment. The Cultural Partnership fosters synergy and alignment of cultural resources that create an enriching, welcoming experience for Springfield visitors and residents alike.",https://facebook.com/https://www.facebook.com/springfieldculture/,https://twitter.com/https://twitter.com/sfldculture,https://youtube.com/https://www.youtube.com/@springfieldculturalpartner3399,https://instagram.com/https://www.instagram.com/spfldculture/,
Health Wealth and Happiness Toastmasters,1295052 HEALTH WEALTH AND HAPPINESS,90-0450854,"[' communication, thinking, speaking, leadership, listening, <em>Public</em> Speaking, Leadership, Self-Improvement, Communication Skills, Presentations, Professional Development, Personal Development, Community and economic development, Community improvement, Community service, Age groups, Adults, Non-governmental organizations, <em>Public</em> charities']",Houston,TX,0,0,"We provide a supportive and positive learning experience in which members are empowered to develop communication and leadership skills, resulting in greater self-confidence and personal growth.",https://facebook.com/H.W.H.Toastmasters,,https://youtube.com//channel/UC2DFVj1U2jS8qmBZnCqt-Bw,,
Association of Montana Public Health Officials,,74-3188218,"['TO ADVOCATE FOR THE IMPROVEMENT OF <em>PUBLIC HEALTH</em> SERVICES IN MONTANA. TO PROVIDE A STRONG, ROBUST, COMMUNITY-DRIVEN <em>PUBLIC HEALTH</em> SYSTEM THROUGH STRONG LEADERSHIP']",Missoula,MT,89097,47355,"TO ADVOCATE FOR THE IMPROVEMENT OF PUBLIC HEALTH SERVICES IN MONTANA. TO PROVIDE A STRONG, ROBUST, COMMUNITY-DRIVEN PUBLIC HEALTH SYSTEM THROUGH STRONG LEADERSHIP",,,,,
Friends of Linn County Public Health,,84-5013576,"['<em>Health,</em> Non-governmental organizations, <em>Public</em> charities']",Cedar Rapids,IA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Physicians for Social Responsibility Inc,Oregon Physicians for Social Responsibility,93-0774594,"['Guided by the values and expertise of healthcare and <em>public health,</em> Oregon PSR works to protect human life from the gravest threats to <em>health</em> and survival by striving to protect our climate, end the nuclear threat, promote peace, and advance justice.', ' nuclear non-proliferation, environment and <em>health,</em> nuclear energy, <em>public health,</em> disarmament,  physicians, global warming, coal fired power plants, clean']",Portland,OR,509891,487710,"Guided by the values and expertise of healthcare and public health, Oregon PSR works to protect human life from the gravest threats to health and survival by striving to protect our climate, end the nuclear threat, promote peace, and advance justice.",https://facebook.com/OregonPSR,https://twitter.com/@oregonpsr,https://youtube.com/oregonpsr,https://instagram.com/oregon_psr,https://linkedin.com/company/oregon-physicians-for-social-responsibility/
Fringe Public Health Inc,,92-1103797,"['<em>Health,</em> Medical support services, Non-governmental organizations, <em>Public</em> charities']",Brinklow,MD,67724,200125,This organization has not provided GuideStar with a mission statement.,,,,,
Morgan County Public Health Fund Inc,,27-3576989,"['organization to the Morgan County <em>Health</em> Center and its clients. This organization is dedicated to furthering the <em>health</em> and well being of the <em>public,</em> especially the uninsured and underinsured clients, and to eliminate accidental childhood injury and death.', ' <em>Health,</em> Non-governmental organizations, Supporting organizations (general), Supporting organizations (general): Type 2, <em>Public</em> charities']",Versailles,MO,60812,0,"The organization is a supporting organization to the Morgan County Health Center and its clients. This organization is dedicated to furthering the health and well being of the public, especially the uninsured and underinsured clients, and to eliminate accidental childhood injury and death.",,,,,
Global Network for Academic Public Health,,93-1966604,"['<em>Health,</em> Diseases and conditions, Non-governmental organizations, <em>Public</em> charities']",Washington,DC,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
ioby,"In Our Backyards, Inc.",26-3283639,"[', placekeeping, philanthropy, digital, volunteer, <em>public health,</em> civic engagement, Environment, Information and communications, Communication media, Web-based media, <em>Public</em> affairs, Democracy, Civic participation, Community and economic development, Community improvement, Financial services, Age groups, Adults, Non-governmental organizations, <em>Public</em> charities']",Brooklyn,NY,2642466,5002721,"ioby's mission is to mobilize neighbors who have good ideas to become powerful civic leaders who plan, fund, and make positive change in their own neighborhoods.",https://facebook.com/ioby.org,https://twitter.com/@ioby,https://youtube.com/https://vimeo.com/ioby,https://instagram.com/inourbackyards/,https://linkedin.com/company/1439123/
Inspiration and Change Inc,,27-4657493,"[' poverty prevention, employment, <em>public health,</em> social determinants, generational disparity, family support services, Education, Graduate and professional education, Business', 'Business education, Medical education, Adult education, Continuing education, Education services, Cooperative education, E-learning, <em>Health,</em> <em>Public health,</em> Community and economic development, Economic development, Human services, Human services information, Basic and emergency aid, Food aid, Family services, Adolescent parenting, Family counseling, Parent education, Single parent support, Youth development']",Sanford,FL,0,0,"Inspiration and Change, Inc. seeks to improve health outcomes and quality of life for individuals by addressing the social determinants that have an effect on health and wellness through education, training, advocacy and programs.",https://facebook.com/https://www.facebook.com/mysmallpart/,,,,
Kids In Danger,KID,36-4234906,"[' children, <em>health,</em> safety, products, recall, kids, danger, educate, promote, advocate, parents, caregivers, childcare, community, <em>public, health</em> care programs, crib, nursery, safe sleep, grandparents, <em>Public</em> safety, Safety education, Consumer protection, Human services, Youth development, Youth services, Age ', 'Age groups, Children and youth, Infants and toddlers, Adults, Seniors, Family relationships, Families, Parents, Work status and occupations, Academics, Students, Non-governmental organizations, <em>Public</em> charities']",Chicago,IL,251656,418012,"Kids In Danger (KID) is a nonprofit organization dedicated to protecting children by fighting for product safety. KID was founded in 1998 by the parents of sixteen-month-old Danny Keysar who died when a portable crib collapsed around his neck in his Chicago childcare home. Although the portable crib had been recalled five years earlier, word of its danger had not reached Danny’s parents, careg
KID’s mission is to save lives by enhancing transparency and accountability through safer product development, better education and stronger advocacy for children. We fulfill our mission by reaching out to caregivers to spread safety awareness and recall information, serving as a watchdog on regulatory agencies and manufacturers, and working with designers and engineers to make safety a top priority",https://facebook.com/kidsindanger,https://twitter.com/kidsindanger,https://youtube.com/KidsInDanger,https://instagram.com/kidsindanger,https://linkedin.com/company//2757698
Western New York Public Health Alliance Inc,,20-1576580,"[' <em>Health,</em> Out-patient medical care, Preventive care, In-patient medical care, Community <em>health</em> care, Non-governmental organizations, Associations, Coalitions and alliances, Organizational membership associations']",Gowanda,NY,227541,26752,STMT SEE SCHEDULE O,,,,,
Advocates for Youth,,52-1173590,"['Advocates’ mission is to partner with young people &amp; their adult allies to champion youth rights to bodily autonomy &amp; build power to transform policies, programs &amp; systems to secure sexual <em>health</em> &amp; equity for all youth. Advocates for Youth (Advocates) envisions a society in which all young people are valued, respected &amp; treated with dignity; sexuality is accepted as a healthy part of being human; &amp;', 'access to confidential, universal sexual <em>health</em> services; &amp; the economic, educational, &amp; social power to exercise their bodily autonomy &amp; make informed decisions regarding their <em>health</em> &amp; well-being.']",Washington,DC,10814444,8502599,"Advocates’ mission is to partner with young people & their adult allies to champion youth rights to bodily autonomy & build power to transform policies, programs & systems to secure sexual health & equity for all youth. Advocates for Youth (Advocates) envisions a society in which all young people are valued, respected & treated with dignity; sexuality is accepted as a healthy part of being human; & youth sexual development is normalized & embraced. In such a world, all youth & young adults are celebrated for who they are & afforded honest, affirming, inclusive sex education; access to confidential, universal sexual health services; & the economic, educational, & social power to exercise their bodily autonomy & make informed decisions regarding their health & well-being.",https://facebook.com/https://www.facebook.com/Advocates4Youth/,https://twitter.com/AdvocatesTweets,https://youtube.com/https://www.youtube.com/channel/UCPxJdFQlbr-jBLWORwqDqfA,https://instagram.com/advocatesforyouth,
Georgia Public Health Association Inc,,58-1556077,"['TO PROMOTE THE SCIENTIFIC FOUNDATION OF <em>PUBLIC HEALTH</em> PRACTICE AND POLICY', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, Associations, Individual membership associations, Organizational membership associations, Affinity groups']",Macon,GA,177522,323964,TO PROMOTE THE SCIENTIFIC FOUNDATION OF PUBLIC HEALTH PRACTICE AND POLICY,,,,,
Onix Public Health Nursing,,87-1320018,"['Non-governmental organizations, <em>Public</em> charities']",Sacramento,CA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Nevada Public Health Foundation Inc,,88-0359697,"['SERVE AS AN ESSENTIAL <em>PUBLIC HEALTH</em> PARTNER IN IDENTIFYING OPPORTUNITIES, MOBILIZING RESOURCES, AND DELIVERING PROGRAMS TO BUILD A <em>HEALTH</em> FUTURE FOR NEVADA.', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Carson City,NV,1765987,898434,"SERVE AS AN ESSENTIAL PUBLIC HEALTH PARTNER IN IDENTIFYING OPPORTUNITIES, MOBILIZING RESOURCES, AND DELIVERING PROGRAMS TO BUILD A HEALTH FUTURE FOR NEVADA.",,,,,
Alabama Public Health Association Inc,,63-0937081,"['THE ALABAMA <em>PUBLIC HEALTH</em> ASSOCIATION, INC., IS AN ASSOCIATION OF INDIVIDUALS AND ORGANIZATIONS INTERESTED IN <em>PUBLIC HEALTH</em> IN ALABAMA. THE MISSION OF THE ASSOCIATION IS TO LINK INDIVIDUALS AND ORGANIZATIONS IN ADDRESSING <em>PUBLIC HEALTH</em> ISSUES, ADVOCATE <em>PUBLIC HEALTH</em> POLICY, SUPPORT THE EDUCATION OF ITS MEMBERS AND THE <em>PUBLIC</em> ON <em>PUBLIC HEALTH</em> ISSUES, AND ENHANCE THE ABILITY OF ITS MEMBERS TO PROMOTE', ' Unknown or not classified, <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Montgomery,AL,209473,44810,"THE ALABAMA PUBLIC HEALTH ASSOCIATION, INC., IS AN ASSOCIATION OF INDIVIDUALS AND ORGANIZATIONS INTERESTED IN PUBLIC HEALTH IN ALABAMA. THE MISSION OF THE ASSOCIATION IS TO LINK INDIVIDUALS AND ORGANIZATIONS IN ADDRESSING PUBLIC HEALTH ISSUES, ADVOCATE PUBLIC HEALTH POLICY, SUPPORT THE EDUCATION OF ITS MEMBERS AND THE PUBLIC ON PUBLIC HEALTH ISSUES, AND ENHANCE THE ABILITY OF ITS MEMBERS TO PROMOTE AND PROTECT PERSONAL, ENVIRONMENTAL AND COMMUNITY HEALTH.",,,,,
Fund for Public Health in Lucas County,,45-4146363,"['THE FUND FOR <em>PUBLIC HEALTH</em> IN LUCAS COUNTY IS COMMITTED TO SUPPORT EFFORTS WITHIN THE COMMUNITY TO PROMOTE BETTER <em>HEALTH</em> OF THE CITIZENS.', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Toledo,OH,2803,151,THE FUND FOR PUBLIC HEALTH IN LUCAS COUNTY IS COMMITTED TO SUPPORT EFFORTS WITHIN THE COMMUNITY TO PROMOTE BETTER HEALTH OF THE CITIZENS.,,,,,
Arlington Community Public Health Nursing Service Inc,,03-0186323,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, Foundations']",Arlington,VT,681166,160102,This organization has not provided GuideStar with a mission statement.,,,,,
Wisconsin Public Health Association Inc,,39-6084243,"['ROOT-CAUSES AND ADVANCE <em>PUBLIC HEALTH</em> POLICY &amp; PRACTICE TO ACHIEVE A VISION FOR A HEALTHIER, SAFER, AND MORE EQUITABLE WISCONSIN.', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Kimberly,WI,258787,346893,"OUR MISSION TO BUILD COLLECTIVE ACTION TO ADDRESS ROOT-CAUSES AND ADVANCE PUBLIC HEALTH POLICY & PRACTICE TO ACHIEVE A VISION FOR A HEALTHIER, SAFER, AND MORE EQUITABLE WISCONSIN.",,,,,
Texas Society for Public Health Education,,32-0302790,"['Education, Non-governmental organizations, <em>Public</em> charities']",Stafford,TX,8196,6120,This organization has not provided GuideStar with a mission statement.,,,,,
Vermont History and Public Health Inc,,83-2957797,"['Education, Non-governmental organizations, <em>Public</em> charities']",Williston,VT,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Scotland County Public Health Fund Inc,,45-0572756,"['Philanthropy, Foundations, Non-governmental organizations, <em>Public</em> charities']",Memphis,MO,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
UNITED WAYS OF CALIFORNIA,United Ways of California,94-1646369,"['United Ways of California improves <em>health,</em> education and financial results for low income children and families by enhancing and coordinating the community impact, giving and advocacy work of California’s United Ways.', ' <em>Health</em> Education Financial opportunity low income children and families; <em>public</em> engagement; philanthropy; volunteer; common good, Philanthropy, Foundations, Nonprofits, Community and ']",South Pasadena,CA,5614193,5982663,"United Ways of California improves health, education and financial results for low income children and families by enhancing and coordinating the community impact, giving and advocacy work of California’s United Ways.",https://facebook.com/facebook.com/UnitedWaysCA,,,,
Vermont Public Health Association Inc,,02-0608866,"[""VOICE ON <em>PUBLIC HEALTH</em> ISSUES AT THE NATIONAL, STATE AND LOCAL LEVEL. WORKING THROUGH ITS MEMBERSHIP, THE VTPHA: - ADVOCATES FOR POLICIES THAT IMPROVE THE <em>PUBLIC'S HEALTH</em>; - PROVIDES A <em>PUBLIC</em> FORUM FOR DISCUSSION AND DISSEMINATION OF INFORMATION THAT CONCERN POLICY AND PRACTICE; - ORGANIZES EDUCATIONAL PROGRAMS TO INCREASE THE KNOWLEDGE AND SKILLS OF ITS MEMBERSHIP; AND - COLLABORATES WITH <em>HEALTH</em> PROFESSIONALS"", 'PROFESSIONALS, <em>HEALTH</em> ORGANIZATIONS AND THE EDUCATIONAL COMMUNITY. VTPHA PROVIDES FACILITATES COLLABORATION AMONG PEOPLE WHO CARE ABOUT <em>PUBLIC HEALTH</em> AND ARE INTERESTED IN PROTECTING AND PROMOTING THE <em>HEALTH</em> OF VERMONT RESIDENTS. IN 2022, VTPHA, THROUGH ITS VT <em>PUBLIC HEALTH</em> INITIATIVE, ENTERED INTO A GRANT AGREEMENT WITH THE STATE OF VERMONT. THE GRANT IS FUNDED BY THE CDC DRAW UPON PRE-COVID PLANNING TO']",Burlington,VT,106392,962650,"THE VERMONT PUBLIC HEALTH ASSOCIATION (VTPHA) IS A MEMBERSHIP ORGANIZATION WHOSE PURPOSE IS TO PROTECT AND PROMOTE PERSONAL, COMMUNITY AND ENVIRONMENTAL HEALTH WITHIN THE STATE OF VERMONT.",,,,,
Washington State Public Health Association,,91-6035626,"['TO IMPROVE <em>HEALTH</em> AND SAFETY FOR ALL PEOPLE IN WASHINGTON THROUGH LEADERSHIP AND ADVANCEMENT OF <em>PUBLIC HEALTH.</em>', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, Associations, Individual membership associations']",Tukwila,WA,41530,271438,TO IMPROVE HEALTH AND SAFETY FOR ALL PEOPLE IN WASHINGTON THROUGH LEADERSHIP AND ADVANCEMENT OF PUBLIC HEALTH.,,,,,
Tennessee Public Health Assoc Inc,,62-6074838,"[' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, Associations', 'ENTIRE MEMBERSHIP. SPONSORED AND CO-SPONSORED SEMINARS, WORKSHOPS AND <em>PUBLIC HEALTH</em> PROMOTION ACTIVITIES FOR VARIOUS AREAS OF THE STATE AND/OR PROGRAM AREAS. PROVIDED A QUARTERLY NEWSLETTER TO THE MEMBERSHIP.']",Hendersonville,TN,522580,255014,"THE MISSION OF THIS ORGANIZATION IS TO EXERCISE LEADERSHIP IN HEALTH POLICY DEVELOPMENT, TO PROMOTE, PROTECT, AND IMPROVE THE HEALTH OF PEOPLE LIVING IN, WORKING IN OR VISITING THE STATE OF TENNESSEE, AND TO FOSTER PROFESSIONAL DEVELOPMENT AND A SENSE OF UNITY AMONG ITS MEMBERS.",,,,,
HEALTH OFFICERS ASSOCIATION OF CALIFORNIA,,23-7103850,"['  <em>Public Health,</em> <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities', ' THE <em>HEALTH</em> OFFICERS ASSOCIATION OF CALIFORNIA PROVIDES TECHNICAL, PROFESSIONAL MEDICAL EXPERTISE TO LOCAL, STATE, AND FEDERAL POLICYMAKERS. THE ASSOCIATION CONDUCTS PROJECTS THAT IMPROVE THE PRACTICE OF <em>PUBLIC HEALTH,</em> AND PROVIDES CONTINUING']",Sacramento,CA,2061931,507340,To optimize the impact of health officers to improve health and well-being for all.,,https://twitter.com/OfficersHealth,,,
Charles City Public Employees Health Plan Trust,,42-1180782,"[' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, Associations', 'Coverage of medical expenses and <em>health</em> insurance for employees of Charles City, Iowa. Health']",Charles City,IA,530132,791953,"Coverage of medical expenses and health insurance for employees of Charles City, Iowa.",,,,,
Rhode Island Public Health Foundation Inc,,05-0474726,"['STATEWIDE RETAIL SNAP INCENTIVE PROGRAM IN THE COUNTRY. RIPHI HOSTS SEVERAL PROGRAMS RELATED TO TRAINING THE <em>PUBLIC HEALTH</em> WORKFORCE , INCLUDING CLINICIANS, <em>PUBLIC HEALTH</em> PRACTITIONERS, AND OTHER STUDENTS IN THE <em>HEALTH</em> PROFESSIONS. RIPHI ALSO EVALUATES AND PUBLISHES ON MANY OF ITS INNOVATIVE <em>PUBLIC HEALTH</em> PROGRAMS.', ""RHODE ISLAND <em>PUBLIC HEALTH</em> INSTITUTE'S MISSION IS TO REDUCE DISPARITIES IN RHODE ISLAND AND BEYOND. Health""]",Providence,RI,1976189,4388665,RHODE ISLAND PUBLIC HEALTH INSTITUTE'S MISSION IS TO REDUCE DISPARITIES IN RHODE ISLAND AND BEYOND.,,,,,
Arkansas Public Health Assn Inc,,71-0360425,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations']",Little Rock,AR,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Southern California Public Health Association,,80-0395459,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Long Beach,CA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Louisiana Public Health Association Inc,,51-0188678,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Baton Rouge,LA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
