org_name,org_alt_name,ein_num,org_highlight,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
WomenHeart: The National Coalition for Women with Heart Disease,WomenHeart,52-2148006,"['Now in 88 local communities across the country, WomenHeart Support Networks led by trained volunteers-- all women living with <em>heart disease</em>-- meet monthly, providing <em>heart</em> health education programs, peer-to-peer encouragement, and guidance to help women living with <em>heart disease</em> maintain a high quality of life and become better partners with their physicians in their own healthcare.  Support Networks ', 'To improve the health and quality of life of women living with or at risk of <em>heart disease,</em> and to advocate for their benefit. Women']",Washington,DC,1649701,1900897,"To improve the health and quality of life of women living with or at risk of heart disease, and to advocate for their benefit.",https://facebook.com/WomenHeartNational,https://twitter.com/@WomenHeartOrg,https://youtube.com/WomenHeartTV,https://instagram.com/WomenHeart,https://linkedin.com/company/womenheart-the-national-coalition-for-women-with-heart-disease
Conquering CHD - Texas,CCHD-TX,85-0511030,"[' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Family relationships, Non-governmental organizations, Public charities', 'improving understanding of congenital <em>heart disease</em> from the patient and family perspective-Research promotion and participation helping promising developments become reality.-Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis']",Carrollton,TX,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/conqueringchdtx,https://twitter.com/conqueringchdtx,,https://instagram.com/conqueringchdtx,
Conquering CHD - Oklahoma,CCHD-OK,84-2688261,"[' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities', 'improving understanding of congenital <em>heart disease</em> from the patient and family perspective-Research promotion and participation helping promising developments become reality.-Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis']",Oklahoma City,OK,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/conqueringchdok,https://twitter.com/conqueringchdok,,https://instagram.com/conqueringchdok,
Parent Heart Watch,PHW,11-3761392,"[' sudden cardiac arrest in youth, sudden cardiac death in youth, <em>heart</em> defects, cardiomyopathy, long qt, childrens <em>heart disease,</em> congenital <em>heart</em> defects', ' defects, Health, Out-patient medical care, Preventive care, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Public safety, Age groups, Children and youth, Adults, Non-governmental organizations, Public charities']",Wilmington,DE,145793,118571,"Parent Heart Watch is the national voice solely dedicated to protecting youth from Sudden Cardiac Arrest (SCA) and preventable Sudden Cardiac Death (SCD). Parent Heart Watch leads and empowers others by sharing information, educating and advocating for change.",https://facebook.com/https://www.facebook.com/phwsca/,https://twitter.com/@PHWorg,https://youtube.com/https://www.youtube.com/channel/UCaNqYUiO0aqFy40bll1HBFw,https://instagram.com/phwsca,https://linkedin.com/company/https://www.linkedin.com/company/parent-heart-watch/
TEXAS BIOMEDICAL RESEARCH INSTITUTE,"Texas Biomedical Research Institute (Effective Feb. 1, 2011, the name of Southwest Foundation for Biomedical Research changed to the Texas Biomedical Research Institute to better reflect our organization and its mission. There is no change in control, tax exempt status, tax ID, or ownership.)",74-1109630,"["", virology, cancer, <em>heart disease,</em> diabetes, hepatitis, AIDS/HIV, infectious <em>disease,</em> cardiovascular <em>disease,</em> emerging viruses, Malaria, neurological <em>diseases,</em> Parkinson's <em>disease,</em> arthritis, Health, Public health, Communicable <em>disease</em> control, Medical specialties, Biomedicine, <em>Diseases</em> and conditions, Respiratory system <em>diseases,</em> Age groups, Adults, Health, People with <em>diseases</em> and illnesses, Non-governmental"", ' human <em>disease</em> – interactions between microbes and humans that cause <em>disease,</em> creation of new diagnostics, therapies and vaccines and further understanding of the health of human populations. By bringing together the best minds and providing exceptional resources, Texas Biomed advances the study of how people are impacted by infection with the aim of diagnosing, preventing and curing <em>disease.</em> By the']",San Antonio,TX,234572359,103389937,Texas Biomedical Research Institute (formerly Southwest Foundation for Biomedical Research) is dedicated to improving the health of our global community through innovative biomedical research.,https://facebook.com/txbiomed,https://twitter.com/@txbiomed,https://youtube.com/texasbiomedicalresearchinstitute,,https://linkedin.com/company/@texasbiomedicalresearchinstitute
Children's Cardiomyopathy Foundation,CCF,75-2986661,"[' cardiomyopathy, pediatrics, children, genetic disorders, medical research, <em>heart disease,</em> congenital <em>heart</em> defect, Health, Medical specialties, Pediatrics, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age groups, Children and youth, Family relationships, Families, Work status and occupations, Academics, Non-governmental organizations', ""The Children's Cardiomyopathy Foundation (CCF) is a national non-profit focused on pediatric cardiomyopathy, a chronic and potentially life-threatening <em>heart disease</em> that can affect children of any age regardless of gender, ethnicity, or socio-economic background. CCF's mission is to accelerate the search for causes and cures for pediatric cardiomyopathy through increased research, education, awareness""]",Tenafly,NJ,2508496,1107136,"The Children's Cardiomyopathy Foundation (CCF) is a national non-profit focused on pediatric cardiomyopathy, a chronic and potentially life-threatening heart disease that can affect children of any age regardless of gender, ethnicity, or socio-economic background. CCF's mission is to accelerate the search for causes and cures for pediatric cardiomyopathy through increased research, education, awareness and advocacy, and to support families whose children are affected by the disease.

To learn more about our programs and services, as well as our achievements please visit CCF at www.childrenscardiomyopathy.org",https://facebook.com/CCFheartkids,https://twitter.com/CCFheartkids,https://youtube.com/CCFHeartKids,https://instagram.com/CCFHeartKids,https://linkedin.com/company/Children's Cardiomyopathy Foundation
Conquering CHD - Louisiana,CCHD - LA,86-1326907,"[' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities', 'insight from someone who has walked a similar path. Social events providing a safe environment to celebrate life and simple joys together. Physician education improving understanding of congenital <em>heart disease</em> from the patient and family perspective. Research promotion and participation helping promising developments become reality. Advocacy activities sharing our stories to improve federal research funding']",Metairie,LA,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/conqueringchdla,https://twitter.com/conqueringchdla,,https://instagram.com/conqueringchdla,
Conquering CHD - Illinois,CCHD - IL,81-5401105,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective-Research promotion and participation helping promising developments become reality.-Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Elgin,IL,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/conqueringchdil,https://twitter.com/conqueringchdil,,https://instagram.com/conqueringchdil,
Conquering CHD - Wisconsin,CCHD-WI,82-1625343,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective-Research promotion and participation helping promising developments become reality.-Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Fitchburg,WI,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDWi,https://twitter.com/ConqueringCHDWi,,https://instagram.com/ConqueringCHDWi,
Conquering CHD - Colorado,CCHD - CO,81-5409979,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective -Research promotion and participation helping promising developments become reality. -Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Denver,CO,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDCo,https://twitter.com/ConqueringCHDCo,,https://instagram.com/ConqueringCHDCo,
Conquering CHD - Tennessee,CCHD-TN,81-4829701,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective-Research promotion and participation helping promising developments become reality.-Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Mt Juliet,TN,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDTn,https://twitter.com/ConqueringCHDTn,,https://instagram.com/ConqueringCHDTn,
Conquering CHD - Michigan,CCHD - MI,81-4842438,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective -Research promotion and participation helping promising developments become reality. -Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Alto,MI,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDMI,https://twitter.com/ConqueringCHDMI,,https://instagram.com/ConqueringCHDMI,
Conquering CHD - Minnesota,CCHD-MN,82-2322056,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective -Research promotion and participation helping promising developments become reality. -Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Duluth,MN,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDMN,https://twitter.com/ConqueringCHDMn,,https://instagram.com/ConqueringCHDMn,
Conquering CHD - Florida,CCHD-FL,82-1612741,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective-Research promotion and participation helping promising developments become reality.-Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Windermere,FL,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDFl,https://twitter.com/ConqueringCHDFl,,https://instagram.com/ConqueringCHDFl,
Conquering CHD - Pennsylvania,CCHD-PA,82-4772778,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective-Research promotion and participation helping promising developments become reality.-Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Harrisburg,PA,41551,65577,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDPa,https://twitter.com/ConqueringCHDPa,,https://instagram.com/ConqueringCHDPa,
Conquering CHD - Washington,CCHD - WA,81-5236288,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective -Research promotion and participation helping promising developments become reality. -Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Snohomish,WA,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDWa,https://twitter.com/ConqueringCHDWa,,https://instagram.com/ConqueringCHDWa,
Conquering CHD - Ohio,CCHD - OH,81-4872105,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective -Research promotion and participation helping promising developments become reality. -Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Cincinnati,OH,88952,71389,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/conqueringchdoh,https://twitter.com/conqueringchdoh,,https://instagram.com/conqueringchdoh,
Conquering CHD - Virginia,CCHD-VA,81-5481933,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective -Research promotion and participation helping promising developments become reality. -Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Midlothian,VA,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDVa,https://twitter.com/ConqueringCHDVa,,https://instagram.com/ConqueringCHDVa,
Conquering CHD - Kentucky,CCHD-KY,82-4307005,"['improving understanding of congenital <em>heart disease</em> from the patient and family perspective-Research promotion and participation helping promising developments become reality.-Advocacy activities sharing our stories to improve federal research fundingPatient &amp; Family Access to Data and Decision-Making InformationLearning you or your child has congenital <em>heart disease</em> can be devastating. This new diagnosis', ' Congenital <em>Heart</em> Defect, Congenital <em>Heart Disease,</em> CHD,, Health, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Family relationships, Families, Non-governmental organizations, Public charities We']",Bardstown,KY,0,0,"We exist to conquer the most common birth defect. We engage, listen, learn, and act. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.",https://facebook.com/ConqueringCHDKy,https://twitter.com/ConqueringCHDKy,,https://instagram.com/ConqueringCHDKy,
FORHEARTS WORLDWIDE,HEARTBEAT INTERNATIONAL FOUNDATION INC,26-0330887,"[' Save Lives, Cardiovascular <em>Disease,</em> Pacemakers, International, <em>Heart,</em> ForHearts, For <em>Hearts,</em> Health, Rehabilitation, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> International relations, Health, People with <em>diseases</em> and illnesses, Non-governmental organizations, Public charities', ' the donation, distribution, and implantation&nbsp;of pacemakers and defibrillators and other cardiac devices from the medical industry. &nbsp;Our <em>Heart</em> Centers across the globe, comprised of a network of local doctors and hospitals, provide surgery, treatment and life-long follow-up care to our indigent patients at no cost to ensure that our mission of saving lives is fulfilled. &nbsp;This program utilizes millions']",Tampa,FL,756273,7708978,ForHearts Worldwide is a non-profit organization that saves lives by fundraising and creating a network for providing implantable cardiovascular devices for people in need in developing countries around the world.,https://facebook.com/ForHeartsWorldwide,https://twitter.com/ForHeartsWW,,https://instagram.com/forheartsworldwide,https://linkedin.com/company/forhearts-worldwide
Saloni Heart Foundation,Saloni Heart Foundation,84-2417088,"[' Pediatric, congenital, <em>heart, disease,</em> cardiology, cardio, cardiovascular,  children, kid, cardio thoracic, Second Opinion, consultation, Hospital, Education, Scholarship, Medicine, Open <em>Heart,</em> Surgery,  advocacy, awareness, Education, Elementary and secondary education, STEM education, Graduate and professional', 'professional education, Medical education, Health, Medical specialties, Cardiology, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Genetic conditions and birth defects, Age groups, Children and youth, Adults, Young adults, Work status and occupations, Academics, Non-governmental organizations, Public charities']",San Jose,CA,188260,124313,Every child with complex heart condition has access to the world's leading heart specialists,https://facebook.com/https://www.facebook.com/SaloniHeartFoundation/,https://twitter.com/https://twitter.com/saloniheart?lang=en,,https://instagram.com/https://www.instagram.com/saloniheart/,https://linkedin.com/company/https://www.linkedin.com/company/saloni-heart-foundation?trk=public_profile_topcard-current-company
"Tedy's Team, Inc.",Tedy's Team,83-1911809,"[' stroke; <em>heart disease</em>; running; awareness; chd; stoke survivors, Philanthropy, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age groups, Children and youth, Adults, Ethnic and racial groups, Health, People with disabilities, People with <em>diseases</em> and illnesses, Non-governmental', 'awareness of stroke and <em>heart disease</em> while supporting survivors on their journey, giving them the means for a comeback. stroke']",Plainville,MA,1861736,1114460,"Raising awareness of stroke and heart disease while supporting survivors on their journey, giving them the means for a comeback.",https://facebook.com/tedysteam,https://twitter.com/tedysteam,https://youtube.com/tedysteam,https://instagram.com/tedysteam,https://linkedin.com/company/tedysteam
ANTHONY BATES FOUNDATION,ABF,27-0038708,"[' youth, cardiac screening, <em>heart disease,</em> Health, Public health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Human services, Youth development, Youth services, Age groups, Children and youth, Adults, Family relationships, Families, Non-adult children, Non-governmental']",Phoenix,AZ,110657,226938,The Anthony Bates Foundation (ABF) believes that no parent should suffer the heartbreak of losing a child to an undiagnosed cardiac malady; we seek to eliminate preventable Sudden Cardiac Arrest (SCA).,https://facebook.com/Anthony-Bates-Foundation-172212946131946,https://twitter.com/A_BatesFndtn,https://youtube.com/channel/UCZamHG9gQgv7pP28QhB11kw,https://instagram.com/anthonybatesfoundation,
"Camp Taylor, Inc.",KIMBERLIE GAMINO,04-3709177,"['are suffering with congenital <em>heart disease.</em> A free medically supervised summer camp for young adults between the ages of 13 and 18 who are suffering from congenital <em>heart disease.</em> A medically supervised family camp program serving parents, siblings, and the <em>heart</em> child.  Typically ages 1 month - 6 years of age or first-time campers suffering from congenital <em>heart disease.</em>  This camp program helps the', ""educating them about the child's specific <em>heart disease</em> and teaching coping strategies that will bring the family closer together throughout the year. A free supervised summer camp for children between the ages of 7 and 18 who are siblings to someone suffering with congenital <em>heart disease.</em> A free retreat for moms of children who are suffering with congenital <em>heart disease.</em> In partnership with Stanislaus County""]",Modesto,CA,4029365,815481,"The mission of Camp Taylor is to create positive, self-affirming experiences in the lives of children with heart disease.The vision is to be the leading provider of uplifting programs benefiting families in the pediatric cardiac community.",https://facebook.com/Camp Taylor,https://twitter.com/Camp Taylor,https://youtube.com/N/A,https://instagram.com/camp_taylor,https://linkedin.com/company/N/A
HEALTH EMPOWERMENT NETWORK OF MARYLAND INC,,45-3811529,"[' Healthcare, preventable <em>disease,</em> diabetes, <em>heart disease,</em> hypertension, stroke, HIV/AIDS, Health, Age groups, Health, Non-governmental organizations, Public charities']",Capitol Heights,MD,35758,58601,"To advance and apply technical and scientific knowledge in healthcare quality improvement and system redesign, clinical process changes, and health information technology to empower individuals and communities to improve healthcare delivery and personal and community health in the state of Maryland.",,,,,"https://linkedin.com/company/Health Empowerment Network of Maryland, Inc."
AUGUSTHEART,,45-2351369,"[' free, <em>heart</em> screenings, teenagers, high school students, <em>heart disease,</em> sudden cardiac death, sudden cardiac arrest, hypertrophic cardiomyopathy, sports physicals, Health, Public health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Human services', 'provide free <em>heart</em> screenings to teenagers to identify selected <em>heart</em> abnormalities in an effort to reduce the risk of sudden cardiac death. free']",San Antonio,TX,647029,723030,The mission of AugustHeart is to provide free heart screenings to teenagers to identify selected heart abnormalities in an effort to reduce the risk of sudden cardiac death.,https://facebook.com/augustheart,,,https://instagram.com/augustheartorg,https://linkedin.com/company/https://www.linkedin.com/feed/
The Womens Breast & Heart Initiative Florida Affiliate Inc,Women's Breast & Heart Initiative,56-2540735,"[' <em>disease</em> prevention  early detection, Education, Higher education, Health, Health care access, Health care administration and financing, Patient social services, In-patient medical care, Community health care, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Cancers, Breast cancer, Age groups, Adults, Young', ' professors, WBHI provides <em>disease</em> prevention and early detection strategies, to undergraduate, graduate, and medical students through a digital program. VAP equips the next generation to take the lead in living <em>disease</em> deterrent lifestyles. Serving today with a strong focus on tomorrow! Provides health education and preventive screening for Breast Cancer and <em>Heart Disease</em> to low income individuals ']",Miami Lakes,FL,811758,661357,AN OUTREACH ORGANIZATION DEDICATED TO TRANSFORMING AND SAVING LIVES THROUGH DISEASE PREVENTION AD EARLY DETECTION,https://facebook.com/@thewbhi,https://twitter.com/@wbhi,https://youtube.com/@thewbhi,https://instagram.com/@wbhi,https://linkedin.com/company/https://www.linkedin.com/company/3239492/admin/feed/posts/
Minneapolis Heart Institute Foundation,MHIF,41-1426406,"[' education, medical research, <em>heart disease,</em> cardiovascular <em>disease,</em> <em>heart</em> health, cardiovascular research, Health, Public health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Non-governmental organizations, Public charities', ' Our community education programs teach people of all ages <em>heart</em>-healthy living. We are a top provider of continuing medical education']",Minneapolis,MN,71060713,27018830,To improve the cardiovascular health of individuals and communities through innovative research and education.,https://facebook.com/MinneapolisHeart,https://twitter.com/MHIF_Heart,https://youtube.com/MplsHeartInstFound,https://instagram.com/mplsheart,https://linkedin.com/company/minneapolis-heart-institute-foundation
Children's Heartlink,,41-1307457,"[' <em>Heart disease,</em> children, international, Brazil, India, China, Vietnam, Malaysia, Health, Health care administration and financing, Health care management, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age', 'hospitals in under-served regions of the world with medical institutions that can provide on-going clinical training and education in order to save the lives of children suffering from congenital <em>heart disease.</em>']",Minneapolis,MN,3647192,4190581,"Our Mission: We save children's lives by transforming pediatric heart care in underserved parts of the world.
Our Vision: Children around the world have access to high-quality heart care.
Our Values: Integrity, Innovation, Collaboration, Quality",https://facebook.com/childrensheartlink,https://twitter.com/CHeartLink,https://youtube.com/CHeartLink,https://instagram.com/childrensheartlink/,https://linkedin.com/company/children's-heartlink
Pulmonary Hypertension Association Inc,PHA,65-0880021,"[' pulmonary, lung, <em>heart,</em> rare <em>disease,</em> pulmonary hypertension, PH, Education, Graduate and professional education, Medical education, Health, Health care administration and financing, Patient-centered care, <em>Diseases</em> and conditions, Respiratory system <em>diseases,</em> Age groups, Children and youth, Adults, Health, People with <em>diseases</em> and illnesses, Chronically ill people, Non-governmental', 'meetings and online educational opportunities.• Provide adult and pediatric PH patients, caregivers and families of children living with PH with the knowledge they need to successfully manage their <em>disease</em> from newly diagnosed to long-term survival.• Enhance communications efforts to remain the primary resource for trusted, timely and actionable information for the PH Community. • Raise awareness among']",Silver Spring,MD,22639344,9616840,"The mission of the Pulmonary Hypertension Association (PHA) is to find ways to prevent and cure pulmonary hypertension, and to provide hope for the pulmonary hypertension community through support, education, advocacy and awareness.",https://facebook.com/PulmonaryHypertensionAssociation,https://twitter.com/PHAssociation,https://youtube.com/user/PHAssociation,https://instagram.com/phassociation,https://linkedin.com/company/company/pulmonary-hypertension-association
SONGS BY HEART FOUNDATION,Songs by Heart,47-2743895,"['Songs by <em>Heart</em> improves the quality of life for persons facing age related memory issues through the power of music.Using a combination of professional level performances and therapeutic techniques, we provide interactive music programs which engage the residents on intellectual, physical, social, spiritual and emotional levels.', "" music, dementia, alzheimer's <em>disease,</em> aging, engagement, community, Health""]",Washington,DC,70016,343059,"Songs by Heart improves the quality of life for persons facing age related memory issues through the power of music.
Using a combination of professional level performances and therapeutic techniques, we provide interactive music programs which engage the residents on intellectual, physical, social, spiritual and emotional levels.",https://facebook.com/songsbyheartfoundation,https://twitter.com/songsbyheartfdtn,https://youtube.com/UCLNb858fN0sv3MwR7eGGWgQ,https://instagram.com/songsbyheart,
Chd Tablet Talk Foundation,,92-0488715,"['  CHD, advocacy, support, chronic illness, congenital <em>heart disease,</em> pediatric cardiology, Human services, Health, People with disabilities, People with physical disabilities, People with <em>diseases</em> and illnesses, Chronically ill people, Non-governmental organizations, Public charities']",Bangor,ME,0,0,"The CHD Tablet Talk mission is to keep children with complex CHD, who are experiencing lengthy hospital stays, connected and engaged while they battle their illness.",https://facebook.com/chdtablettalk,,,https://instagram.com/chdtablettalk,
Reversing My Heart Disease,,82-4733696,"['Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Non-governmental organizations, Public charities']",Sherborn,MA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Crush Foundation,The Crush Foundation,32-0597988,"["" advocacy, education, fundraising, partnership, <em>disease,</em>  chronic, cancer, diabetes, <em>heart disease,</em> tbi, alzheimer's, dimentia, als, ms, stroke, Education, Health, <em>Diseases</em> and conditions, Family relationships, Families, Caregivers, Non-governmental organizations, Public charities""]",San Antonio,TX,0,0,"The Crush Foundation is a non-profit organization dedicated to helping its communities to raise funds needed for lifesaving medical efforts and furthering education to those who were otherwise financially incapable of obtaining such services, qualified for exemption under section 501(c)(3) as a charitable organization providing relief to the poor and distressed.",https://facebook.com/crushfoundation,https://twitter.com/crushfoundation,,https://instagram.com/crushfoundation,
